"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1595","test_update_profile","tests","2026-07-23","passed","2026-07-23","","test_update_profile","",""
"","1068","test_get_followers","tests","2026-07-23","passed","2026-07-23","","test_get_followers","",""
"","3266","test_react_post","tests","2026-07-23","passed","2026-07-23","","test_react_post","",""
"","1246","test_login","tests","2026-07-23","passed","2026-07-23","","test_login","",""
"","1421","test_comment_post","tests","2026-07-23","passed","2026-07-23","","test_comment_post","",""
"","1298","test_follow_user","tests","2026-07-23","passed","2026-07-23","","test_follow_user","",""
"","1022","test_follow_user","tests","2026-07-23","passed","2026-07-23","","test_unfollow_user","",""
"","961","test_get_user","tests","2026-07-23","passed","2026-07-23","","test_get_user","",""
"","1092","test_get_user_posts","tests","2026-07-23","passed","2026-07-23","","test_get_user_posts","",""
"","271964","test_create_image_post","tests","2026-07-23","passed","2026-07-23","","test_create_post","",""
"","994","test_get_following","tests","2026-07-23","passed","2026-07-23","","test_get_following","",""
